index,name,seat,riichi_turn,tsumo_counts,naki_counts,total_draw_counts,riichi_turn_by_tsumo,p_runs,markov_p,p_empirical,entropy_bits,cramers_v,tsumogiri_count,points_gained,PC1,PC2,anomaly_flag,CUSUM,kmeans,dbscan,hmm_state
東1-0,Aさん,東,12.0,16,0.0,15,12.8,0.0220753734782949,0.2546235409743339,0.7526,0.4503258334775646,0.1490993996350282,7,0,-0.4206928036319459,2.7564298772633915,1,0,0,-1,0
東1-0,Bさん,南,,14,0.0,13,,0.0061966636526663,0.0426539988982834,0.6588,0.4918295834054489,0.1490993996350283,5,0,-0.3135710155690995,1.1635097757599353,1,0,0,-1,0
東1-0,Cさん,西,10.0,14,0.0,13,10.769230769230768,0.101014753732503,0.4207776542437732,0.5742,0.6666666666666666,0.1561245081464045,7,9700,0.7260148859228659,1.3080415184011989,1,0,2,3,0
東1-0,Dさん,北,,13,2.0,15,,0.101014753732503,0.1748482590055459,0.3729,0.6251629167387822,0.162846839442427,9,-7700,1.0803011773630584,-0.8051491916297687,1,0,1,0,0
東2-0,Bさん,東,,12,0.0,11,,0.0448883712012402,0.6892407253485704,0.9888,0.3333333333333333,0.125689847458867,3,-3900,-3.065906772433571,-0.025954606662880575,1,0,0,-1,0
東2-0,Cさん,南,8.0,12,0.0,11,8.727272727272727,0.101014753732503,0.1331990281122007,0.8296,0.4918295834054489,0.1417264968137398,5,8900,-0.8290889865647528,1.7255806617987148,1,0,0,-1,0
東2-0,Dさん,西,,11,0.0,10,,0.0448883712012402,0.0933918385829982,0.752,0.4918295834054489,0.1490993996350282,3,-2000,-0.7008053478354108,0.5692001777834869,1,0,0,2,0
東2-0,Aさん,北,,11,0.0,10,,0.0177187257567703,0.3176456994170243,0.4485,0.6251629167387822,0.162846839442427,2,-2000,0.6490928487019477,-0.2042806917643089,1,0,1,0,0
東3-0,Cさん,東,,11,0.0,10,,0.5873235968543763,0.2310743497902077,0.9875,0.3999999999999999,0.125689847458867,5,-7700,-2.4192621955516533,-0.4145621620789486,1,0,0,1,1
東3-0,Dさん,南,,10,0.0,9,,0.5873235968543763,0.1844843236444213,0.7455,0.6,0.1490993996350282,3,0,-0.397032132403861,-0.964351537251213,1,0,1,-1,1
東3-0,Aさん,西,,10,0.0,9,,0.0448883712012402,0.5749559043215831,0.5761,0.6,0.1561245081464045,5,0,-0.20941850683406182,-0.7957672372437097,1,0,1,-1,0
東3-0,Bさん,北,,10,0.0,9,,0.101014753732503,0.5118152477193083,0.8359,0.4666666666666666,0.1417264968137398,3,7700,-1.6535547601496738,-0.4149587958352746,1,0,0,1,0
東4-0,Dさん,東,,10,1.0,11,,0.0061966636526663,0.0118529943779768,0.2155,0.7169925001442312,0.1693024636230036,4,-3900,1.9436891084621568,-0.4855257003288942,1,0,2,-1,0
東4-0,Aさん,南,,9,0.0,8,,0.1081395835339431,0.3533161701112546,0.159,0.6754887502163469,0.1755208114761589,5,0,1.6558992011414315,-1.0212498336070028,1,0,1,-1,0
東4-0,Bさん,西,8.0,8,0.0,7,9.142857142857142,0.0061966636526663,0.1832209888165509,0.2801,0.6251629167387822,0.1693024636230036,0,0,1.3815486312364271,0.684027177629756,1,0,2,3,0
東4-0,Cさん,北,,7,2.0,9,,0.0066598960787457,0.0966006160792048,0.9412,0.4666666666666666,0.1339483812021039,4,4900,-1.8019397792739549,-0.7761721855780247,1,0,0,1,0
南1-0,Aさん,東,,14,0.0,13,,0.0005230230780571,0.0921093048546214,0.5617,0.6251629167387822,0.1561245081464045,8,-500,0.605740312888204,0.8238357148387517,1,0,2,3,0
南1-0,Bさん,南,,14,1.0,15,,0.0448883712012402,0.3121453832219495,0.9428,0.4251629167387822,0.1339483812021039,8,2100,-1.8392812401883112,0.3503532299178526,1,0,0,2,0
南1-0,Cさん,西,11.0,14,0.0,13,11.846153846153845,0.5873235968543763,0.0698858939580339,0.1028,0.6251629167387822,0.1815262689906896,7,-300,2.570321244927865,0.9027418024790633,1,0,2,-1,1
南1-0,Dさん,北,,12,1.0,13,,0.0005230230780571,0.0187394075235108,0.0518,0.508170416594551,0.1873393108936591,3,-300,2.0269104814767203,-0.07685463494561638,1,0,2,-1,0
南2-0,Bさん,東,,6,0.0,5,,0.0448883712012402,0.045434981626547,0.3011,0.4918295834054489,0.1693024636230036,3,0,0.5545967071301919,-0.4146569076038126,1,0,1,0,0
南2-0,Cさん,南,6.0,6,0.0,5,7.199999999999999,0.0448883712012402,0.0769526932235875,0.942,0.4666666666666666,0.1339483812021039,2,6200,-1.694720584285461,0.9515682554201003,1,0,0,2,0
南2-0,Dさん,西,,6,0.0,5,,0.8502717756756941,0.7583141446496109,0.4482,0.583659166810898,0.162846839442427,0,-5200,-0.2585180503940876,-3.414506067442214,-1,1,1,-1,1
